state_name,district,year,commodity_name,area
Karnataka,BAGALKOT,2001-02,Arecanut,4.0
Karnataka,BAGALKOT,2003-04,Arecanut,6.0
Karnataka,BANGALORE RURAL,2001-02,Arecanut,1828.0
Karnataka,BANGALORE RURAL,2003-04,Arecanut,1998.0
Karnataka,BELGAUM,2003-04,Arecanut,2.0
Karnataka,BELLARY,2001-02,Arecanut,26.0
Karnataka,BELLARY,2003-04,Arecanut,30.0
Karnataka,BENGALURU URBAN,2001-02,Arecanut,81.0
Karnataka,BENGALURU URBAN,2003-04,Arecanut,216.0
Karnataka,CHAMARAJANAGAR,2001-02,Arecanut,279.0
Karnataka,CHAMARAJANAGAR,2003-04,Arecanut,309.0
Karnataka,CHIKMAGALUR,2001-02,Arecanut,15796.0
Karnataka,CHIKMAGALUR,2003-04,Arecanut,16347.0
Karnataka,CHITRADURGA,2001-02,Arecanut,12153.0
Karnataka,CHITRADURGA,2003-04,Arecanut,14366.0
Karnataka,DAKSHIN KANNAD,2001-02,Arecanut,25578.0
Karnataka,DAKSHIN KANNAD,2003-04,Arecanut,27092.0
Karnataka,DAVANGERE,2001-02,Arecanut,19487.0
Karnataka,DAVANGERE,2003-04,Arecanut,21235.0
Karnataka,DHARWAD,2001-02,Arecanut,10.0
Karnataka,DHARWAD,2003-04,Arecanut,8.0
Karnataka,GADAG,2003-04,Arecanut,2.0
Karnataka,HASSAN,2001-02,Arecanut,2128.0
Karnataka,HASSAN,2003-04,Arecanut,3193.0
Karnataka,HAVERI,2001-02,Arecanut,507.0
Karnataka,HAVERI,2003-04,Arecanut,634.0
Karnataka,KODAGU,2001-02,Arecanut,1230.0
Karnataka,KODAGU,2003-04,Arecanut,1344.0
Karnataka,KOLAR,2001-02,Arecanut,81.0
Karnataka,KOLAR,2003-04,Arecanut,67.0
Karnataka,MANDYA,2001-02,Arecanut,732.0
Karnataka,MANDYA,2003-04,Arecanut,816.0
Karnataka,MYSORE,2001-02,Arecanut,798.0
Karnataka,MYSORE,2003-04,Arecanut,645.0
Karnataka,SHIMOGA,2001-02,Arecanut,26359.0
Karnataka,SHIMOGA,2003-04,Arecanut,28039.0
Karnataka,TUMKUR,2001-02,Arecanut,12628.0
Karnataka,TUMKUR,2003-04,Arecanut,15459.0
Karnataka,UDUPI,2001-02,Arecanut,4877.0
Karnataka,UDUPI,2003-04,Arecanut,4954.0
Karnataka,UTTAR KANNAD,2001-02,Arecanut,11483.0
Karnataka,UTTAR KANNAD,2003-04,Arecanut,12177.0
Karnataka,BAGALKOT,2001-02,Arhar/Tur,1502.0
Karnataka,BAGALKOT,2002-03,Arhar/Tur,2749.0
Karnataka,BAGALKOT,2003-04,Arhar/Tur,736.0
Karnataka,BANGALORE RURAL,2001-02,Arhar/Tur,4503.0
Karnataka,BANGALORE RURAL,2002-03,Arhar/Tur,3136.0
Karnataka,BANGALORE RURAL,2003-04,Arhar/Tur,4572.0
Karnataka,BELGAUM,2001-02,Arhar/Tur,3813.0
Karnataka,BELGAUM,2002-03,Arhar/Tur,5200.0
Karnataka,BELGAUM,2003-04,Arhar/Tur,2346.0
Karnataka,BELLARY,2001-02,Arhar/Tur,5944.0
Karnataka,BELLARY,2002-03,Arhar/Tur,7906.0
Karnataka,BELLARY,2003-04,Arhar/Tur,5526.0
Karnataka,BENGALURU URBAN,2001-02,Arhar/Tur,553.0
Karnataka,BENGALURU URBAN,2002-03,Arhar/Tur,319.0
Karnataka,BENGALURU URBAN,2003-04,Arhar/Tur,843.0
Karnataka,BIDAR,2001-02,Arhar/Tur,64077.0
Karnataka,BIDAR,2002-03,Arhar/Tur,67313.0
Karnataka,BIDAR,2003-04,Arhar/Tur,73792.0
