commodity_name,market_name,arrival_date,modal_price
Alasande+Gram,Bagalakot,22-05-2019,46.46
Alasande+Gram,Bangalore,22-05-2019,50.5
Alasande+Gram,Laxmeshwar,22-05-2019,36.54
Antawala,Chikkamagalore,22-05-2019,20
Arhar+Dal(Tur+Dal),Bangalore,22-05-2019,83
Arhar+Dal(Tur+Dal),Mysore (Bandipalya),22-05-2019,86
Arhar+Dal(Tur+Dal),Shimoga,22-05-2019,91.5
Avare+Dal,Bangalore,22-05-2019,42
Banana,Channapatana,22-05-2019,9
Beans,Chikkamagalore,22-05-2019,50
Beans,Kolar,22-05-2019,85
Beans,Ramanagara,22-05-2019,75
Beetroot,Chikkamagalore,22-05-2019,10
Beetroot,Honnali,22-05-2019,11
Beetroot,Kolar,22-05-2019,19
Black+pepper,Chikkamagalore,22-05-2019,238.6
Black+pepper,Gonikappal,22-05-2019,270
Bottle+gourd,Kolar,22-05-2019,1.3
Brinjal,Honnali,22-05-2019,5
Brinjal,Kolar,22-05-2019,11
Brinjal,Ramanagara,22-05-2019,30
Cabbage,Honnali,22-05-2019,12
Cabbage,Kolar,22-05-2019,12
Cabbage,Ramanagara,22-05-2019,26
Capsicum,Kolar,22-05-2019,23
Carrot,Kolar,22-05-2019,33
Cashewnuts,Kundapura,22-05-2019,105.57
Cauliflower,Chikkamagalore,22-05-2019,10.58
Cauliflower,Kolar,22-05-2019,20
Chapparad+Avare,Kolar,22-05-2019,27
Chennangi+Dal,Bangalore,22-05-2019,56
Chili+Red,Shimoga,22-05-2019,117.5
Chilly+Capsicum,Kolar,22-05-2019,42
Chilly+Capsicum,Ramanagara,22-05-2019,51
Coconut,Arasikere,22-05-2019,160
Coconut,Bangalore,22-05-2019,170
Coconut,Honnali,22-05-2019,130
Coconut,Kadur,22-05-2019,122
Coconut,Kanakapura,22-05-2019,100
Coconut,Kundapura,22-05-2019,161.31
Copra,Tiptur,22-05-2019,150
Cotton,Bijapur,22-05-2019,63.37
Cotton,Dharwar,22-05-2019,62.3
Cotton,Raichur,22-05-2019,59.62
