state_name,district,year,commodity_name,production
Karnataka,BAGALKOT,1998,Arhar/Tur,2602.0
Karnataka,BAGALKOT,1998,Bajra,52375.0
Karnataka,BAGALKOT,1998,Castor seed,61.0
Karnataka,BAGALKOT,1998,Cotton(lint),22129.0
Karnataka,BAGALKOT,1998,Groundnut,7734.0
Karnataka,BAGALKOT,1998,Horse-gram,1156.0
Karnataka,BAGALKOT,1998,Jowar,24855.0
Karnataka,BAGALKOT,1998,Maize,92831.0
Karnataka,BAGALKOT,1998,Moong(Green Gram),1147.0
Karnataka,BAGALKOT,1998,Niger seed,47.0
Karnataka,BAGALKOT,1998,Onion,14100.0
Karnataka,BAGALKOT,1998,Rapeseed &Mustard,7.0
Karnataka,BAGALKOT,1998,Rice,316.0
Karnataka,BAGALKOT,1998,Sesamum,937.0
Karnataka,BAGALKOT,1998,Soyabean,3854.0
Karnataka,BAGALKOT,1998,Sunflower,13374.0
Karnataka,BAGALKOT,1998,Gram,15170.0
Karnataka,BAGALKOT,1998,Groundnut,24166.0
Karnataka,BAGALKOT,1998,Horse-gram,608.0
Karnataka,BAGALKOT,1998,Jowar,120840.0
Karnataka,BAGALKOT,1998,Linseed,1667.0
Karnataka,BAGALKOT,1998,Maize,24026.0
Karnataka,BAGALKOT,1998,Onion,16070.0
Karnataka,BAGALKOT,1998,Safflower,3570.0
Karnataka,BAGALKOT,1998,Sunflower,16619.0
Karnataka,BAGALKOT,1998,Wheat,28030.0
Karnataka,BAGALKOT,1998,Maize,5016.0
Karnataka,BAGALKOT,1998,Onion,15017.0
Karnataka,BAGALKOT,1998,Sunflower,1195.0
Karnataka,BAGALKOT,1998,Arecanut,7.0
Karnataka,BAGALKOT,1998,Coconut ,2728.0
Karnataka,BAGALKOT,1998,Coriander,4.0
Karnataka,BAGALKOT,1998,Dry chillies,816.0
Karnataka,BAGALKOT,1998,Garlic,25.0
Karnataka,BAGALKOT,1998,Turmeric,1872.0
Karnataka,BAGALKOT,1999,Arhar/Tur,3589.0
Karnataka,BAGALKOT,1999,Bajra,29929.0
Karnataka,BAGALKOT,1999,Castor seed,37.0
Karnataka,BAGALKOT,1999,Cotton(lint),18434.0
Karnataka,BAGALKOT,1999,Groundnut,7326.0
Karnataka,BAGALKOT,1999,Horse-gram,607.0
Karnataka,BAGALKOT,1999,Jowar,21354.0
Karnataka,BAGALKOT,1999,Maize,101371.0
Karnataka,BAGALKOT,1999,Mesta,17.0
Karnataka,BAGALKOT,1999,Moong(Green Gram),6423.0
Karnataka,BAGALKOT,1999,Niger seed,53.0
Karnataka,BAGALKOT,1999,Other Kharif pulses,3696.0
Karnataka,BAGALKOT,1999,Rice,202.0
Karnataka,BAGALKOT,1999,Sesamum,607.0
Karnataka,BAGALKOT,1999,Small millets,190.0
Karnataka,BAGALKOT,1999,Soyabean,4262.0
Karnataka,BAGALKOT,1999,Sunflower,14837.0
Karnataka,BAGALKOT,1999,Gram,12599.0
Karnataka,BAGALKOT,1999,Groundnut,20537.0
